股票代號,股票,淨買超,收盤價,漲跌%,成交量,當日,累計15日
2317,鴻海,"41,464","89,134",238.5,(5.3%),"149,156"
2887,台新新光金,"33,729","236,116",19.75,(1.8%),"81,779"
2337,旺宏,"32,003","31,422",29.4,(9.91%),"120,058"
1504,東元,"23,451","-2,222",119.5,(9.63%),"71,597"
8110,華東,"18,062","17,582",25.35,(9.98%),"69,479"
2481,強茂,"12,184","29,351",89.8,(9.91%),"27,974"
2303,聯電,"10,484","120,439",46.1,(0.77%),"32,974"
2344,華邦電,"9,752","129,002",46.35,(5.46%),"577,488"
2327,國巨*,"6,467","-37,944",196,(6.23%),"89,222"
2492,華新科,"5,754","-5,229",113.5,(9.66%),"39,540"
5328,華容,"5,023","4,159",19.25,(10%),"17,007"
8358,金居,"4,751","-10,009",220.5,(6.01%),"46,683"
2883,凱基金,"4,351","43,943",15.7,(-0.32%),"31,434"
8103,瀚荃,"4,060","10,694",75.4,(8.49%),"15,456"
2353,宏碁,"3,520","-26,028",31.35,(2.28%),"23,449"
6173,信昌電,"3,343","3,324",59.6,(9.96%),"37,154"
8021,尖點,"3,287","7,858",109.5,(9.61%),"12,935"
6274,台燿,"3,170","3,915",331,(3.44%),"10,850"
3163,波若威,"3,063",290,231,(10%),"14,514"
3711,日月光投控,"3,008","36,892",200,(2.04%),"24,330"
2356,英業達,"2,856","-18,540",45.1,(2.85%),"12,539"
2382,廣達,"2,796","40,931",296.5,(2.77%),"22,358"
2329,華泰,"2,681",865,49.05,(4.81%),"11,720"
6175,立敦,"2,671","2,698",44.75,(9.95%),"10,476"
2330,台積電,"2,564","-39,108",1480,(2.07%),"32,973"
2515,中工,"2,493","2,182",11.3,(1.35%),"6,090"
3013,晟銘電,"2,437","3,224",132,(6.88%),"23,915"
8043,蜜望實,"2,194","2,740",47.45,(9.97%),"11,730"
8926,台汽電,"2,092","9,339",50.1,(1.52%),"6,085"
1808,潤隆,"1,991","7,343",34.35,(3.31%),"8,070"
6127,九豪,"1,831",-591,29,(9.85%),"9,241"
3707,漢磊,"1,763",-265,60.9,(3.75%),"12,420"
2375,凱美,"1,759","2,254",95.2,(9.93%),"53,433"
2354,鴻準,"1,740","-30,903",68.7,(2.84%),"12,478"
5347,世界,"1,657","2,743",104,(4.84%),"8,276"
2845,遠東銀,"1,655","9,688",12.75,(0%),"8,843"
2316,楠梓電,"1,585","-1,566",97.8,(3.38%),"7,401"
6153,嘉聯益,"1,460","-1,971",15.25,(6.27%),"5,486"
2474,可成,"1,425","-2,364",196.5,(9.78%),"6,484"
2812,台中銀,"1,296","-19,407",22.4,(0.67%),"9,093"
8054,安國,"1,221","4,711",124,(4.2%),"12,385"
3264,欣銓,"1,157","-6,529",84.6,(3.93%),"7,008"
8111,立碁,"1,111","1,043",55.1,(2.04%),"6,522"
2363,矽統,969,"-4,077",56.8,(1.43%),"4,938"
4919,新唐,946,690,64,(3.06%),"3,008"
5483,中美晶,932,"6,613",125,(2.88%),"5,970"
6505,台塑化,915,"18,652",43.85,(0.23%),"4,922"
3305,昇貿,894,"-9,536",97.5,(-2.11%),"7,307"
3026,禾伸堂,874,"4,610",115.5,(10%),"11,624"
9904,寶成,842,144,29.2,(0.17%),"8,848"
2421,建準,805,-547,136.5,(0.74%),"3,865"
3081,聯亞,790,"-1,863",437.5,(9.92%),"4,676"
2392,正崴,787,"-3,318",48.95,(2.3%),"3,152"
8261,富鼎,735,"1,622",96.3,(3.66%),"2,437"
2208,台船,707,"-7,376",21.2,(-2.53%),"8,619"
2472,立隆電,687,"1,491",93.8,(5.63%),"13,713"
6182,合晶,597,"-2,996",32.55,(5.34%),"19,112"
1609,大亞,576,"12,471",42.45,(0.47%),"5,662"
2409,友達,568,"-54,253",13.25,(0.38%),"30,126"
2449,京元電子,563,"29,453",178,(1.71%),"16,526"
1608,華榮,548,"4,046",31.1,(2.81%),"3,322"
2401,凌陽,547,"1,183",23,(1.55%),"2,077"
6442,光聖,545,"-1,912",857,(8.07%),"7,115"
5314,世紀*,538,"-14,397",139,(3.35%),"12,553"
2302,麗正,537,-68,19.65,(9.78%),"6,960"
5392,能率,536,"3,013",46.75,(-0.11%),"3,171"
2617,台航,534,376,29.05,(0.69%),"1,650"
2428,興勤,533,-695,184.5,(6.34%),"4,012"
4916,事欣科,514,776,53.4,(-1.29%),"2,595"
2406,國碩,502,-633,20.4,(2.26%),"2,432"
2368,金像電,501,"-4,733",414,(2.48%),"5,247"
6155,鈞寶,495,363,26.85,(9.82%),797
3543,州巧,488,"3,882",44.15,(9.96%),"12,469"
9945,潤泰新,487,"-7,062",30.15,(0%),"6,011"
4904,遠傳,487,"22,663",92.8,(0.32%),"2,890"
