股票代號,股票,淨賣超,收盤價,漲跌%,成交量,當日,累計15日
2324,仁寶,"-20,867","-103,627",32.95,(-1.05%),"54,774"
2408,南亞科,"-15,198","31,896",107,(2.88%),"215,411"
1815,富喬,"-11,001","-26,014",65.8,(0%),"51,313"
6770,力積電,"-8,247","39,944",30.3,(2.71%),"245,998"
8112,至上,"-6,866","-4,928",55.3,(1.47%),"48,598"
1605,華新,"-6,858","-3,428",30.55,(5.16%),"159,821"
3715,定穎投控,"-6,363","-15,080",91.9,(-2.65%),"26,778"
2801,彰銀,"-6,197","18,187",20.15,(-0.74%),"15,585"
3231,緯創,"-6,191","47,890",142,(4.03%),"65,313"
3189,景碩,"-5,887","26,159",151,(0%),"43,193"
8088,品安,"-5,813",-26,49.15,(4.8%),"74,740"
2609,陽明,"-5,342","-54,174",54,(-0.18%),"19,152"
2002,中鋼,"-5,315","-72,537",18.9,(-0.79%),"19,305"
2867,三商壽,"-5,096","9,564",6.19,(-2.52%),"13,983"
3481,群創,"-4,810","75,492",14.35,(-1.03%),"51,718"
2371,大同,"-4,698","-13,433",38,(1.88%),"19,079"
6282,康舒,"-4,427","3,128",37.7,(1.21%),"42,004"
2301,光寶科,"-4,412","-41,608",164.5,(-0.6%),"24,716"
2892,第一金,"-4,307","-12,700",28.9,(-0.69%),"13,413"
2603,長榮,"-4,213","-14,226",184.5,(-1.07%),"11,894"
2884,玉山金,"-4,143","-42,884",32.3,(-0.77%),"15,949"
1802,台玻,"-4,028","-25,931",28,(-0.71%),"34,476"
2834,臺企銀,"-4,014","8,322",15.35,(-0.65%),"13,046"
3704,合勤控,"-3,446","-4,174",35.4,(-0.98%),"19,172"
1402,遠東新,"-3,219","-21,791",27,(-0.74%),"8,011"
1101,台泥,"-3,047","-21,758",23.25,(-0.43%),"22,100"
2478,大毅,"-2,889",-523,61.1,(4.98%),"31,920"
2615,萬海,"-2,653","-14,364",79.3,(-1.12%),"11,744"
2105,正新,"-2,626","-26,658",33.3,(-1.48%),"8,178"
4938,和碩,"-2,508","-3,799",74.5,(0%),"8,687"
3037,欣興,"-2,474","18,423",160,(-0.31%),"16,741"
2890,永豐金,"-2,450","21,173",26.05,(-0.19%),"14,146"
3576,聯合再生,"-2,435","-2,714",6.24,(0.32%),"6,150"
2618,長榮航,"-2,350","-16,130",38.1,(-0.65%),"19,407"
8028,昇陽半導體,"-2,261","-3,692",177.5,(-0.84%),"6,804"
2891,中信金,"-2,108","-27,574",42.4,(-0.24%),"13,074"
1795,美時,"-2,074",874,279,(-6.84%),"12,705"
6757,台灣虎航,"-2,012","-4,208",72,(-3.74%),"4,923"
6290,良維,"-1,953","7,464",147,(-0.68%),"8,803"
8046,南電,"-1,881","12,058",277.5,(-1.07%),"23,560"
3006,晶豪科,"-1,835",93,85.2,(-0.93%),"15,046"
2542,興富發,"-1,746","-42,235",38.25,(-0.39%),"6,002"
5876,上海商銀,"-1,680","-8,333",40.65,(-0.73%),"5,054"
3706,神達,"-1,519","-25,245",91.6,(0.22%),"22,383"
8044,網家,"-1,461","-1,638",34.8,(-1.97%),"6,562"
5871,中租-KY,"-1,417","-19,653",105,(-0.94%),"4,250"
2014,中鴻,"-1,392","-1,353",15.6,(-1.89%),"4,508"
5469,瀚宇博,"-1,346","-14,087",89.5,(-0.56%),"9,502"
6217,中探針,"-1,285","2,241",57.8,(0.52%),"21,515"
1785,光洋科,"-1,262",-917,62.7,(-0.16%),"6,623"
3162,精確,"-1,235","-4,487",57.3,(7.1%),"6,963"
1909,榮成,"-1,222",-904,9.7,(-2.02%),"3,792"
2457,飛宏,"-1,204","-5,736",27.4,(1.29%),"10,323"
4989,榮科,"-1,202","-2,284",36.5,(5.95%),"4,290"
2543,皇昌,"-1,195",-567,71.6,(-1.65%),"2,836"
6285,啟碁,"-1,182","-2,132",116.5,(-1.69%),"2,836"
5351,鈺創,"-1,167","4,709",38.45,(-0.39%),"11,835"
2641,正德,"-1,145","-1,963",20.85,(-2.34%),"5,573"
1513,中興電,"-1,123",-551,154,(-1.91%),"3,037"
3313,斐成,"-1,115","-1,979",19.45,(2.1%),"11,775"
1215,卜蜂,"-1,063",328,136.5,(-6.51%),"2,604"
6116,彩晶,"-1,006","-14,796",7.57,(-0.39%),"5,320"
5880,合庫金,-998,"-10,835",24,(-0.62%),"8,266"
2646,星宇航空,-983,"-1,608",24.75,(-0.2%),"5,103"
2486,一詮,-965,"-6,308",78.6,(-0.76%),"2,812"
4749,新應材,-950,"-1,610",890,(-1.66%),"2,257"
1304,台聚,-938,"-2,236",10.5,(-2.33%),"3,843"
3017,奇鋐,-933,"5,789",1140,(-0.87%),"6,056"
2504,國產,-776,"-5,624",33.75,(-0.59%),"3,364"
9105,泰金寶-DR,-752,"-3,678",6.31,(-0.63%),"14,612"
9958,世紀鋼,-739,"-1,285",161,(-2.72%),"2,155"
4743,合一,-734,"-2,178",61.7,(-2.83%),"1,998"
6139,亞翔,-705,"3,985",428,(-0.23%),"4,492"
6191,精成科,-699,"-12,006",105.5,(-1.4%),"9,165"
1718,中纖,-698,"-1,725",6.3,(-1.41%),"2,789"
3376,新日興,-695,"-3,312",220.5,(0.46%),"3,630"
3709,鑫聯大投控,-693,"3,325",50.4,(0.8%),"2,736"
3016,嘉晶,-656,"-8,288",55.5,(2.59%),"6,663"
4772,台特化,-648,-414,327,(-2.1%),"2,331"
8039,台虹,-627,"-6,653",60.8,(-1.46%),"3,897"
1710,東聯,-621,-789,12.05,(-2.82%),"1,747"
6531,愛普*,-609,"2,390",373,(-0.67%),"3,825"
4906,正文,-604,"-4,371",26.25,(-1.87%),"3,391"
4968,立積,-595,725,149,(0%),"3,276"
2402,毅嘉,-581,"-4,979",50.1,(1.52%),"4,482"
5425,台半,-580,"-1,131",59.5,(7.59%),"17,303"
2027,大成鋼,-564,"10,383",38.4,(-0.78%),"7,802"
6579,研揚,-559,-388,138,(-2.82%),"2,160"
6227,茂綸,-557,379,90.8,(-5.22%),"1,922"
6485,點序,-553,-547,82,(-2.03%),"5,341"
2455,全新,-539,"-6,036",145.5,(2.11%),"4,480"
2605,新興,-534,748,24.25,(-2.81%),"5,807"
3149,正達,-527,"-9,447",38.7,(2.65%),"3,875"
2539,櫻花建,-517,"-2,481",48,(-1.03%),"1,589"
5536,聖暉*,-503,"-2,188",795,(-3.99%),"2,166"
3293,鈊象,-499,"-3,767",758,(-0.13%),"1,433"
2885,元大金,-497,"-6,764",34.05,(0.29%),"10,705"
6789,采鈺,-491,"-4,232",248.5,(0.4%),"1,848"
5289,宜鼎,-482,-149,409,(-0.97%),"3,592"
1560,中砂,-479,"-5,838",323.5,(-1.37%),"2,836"
4979,華星光,-476,"-16,087",191.5,(4.64%),"15,916"
3702,大聯大,-476,"-8,408",62.3,(0.65%),"4,494"
6446,藥華藥,-467,-982,513,(-0.58%),"1,818"
5309,系統電,-464,"-9,441",62.8,(-0.95%),"9,741"
2606,裕民,-454,"-2,692",56.2,(-0.18%),"3,231"
2454,聯發科,-443,"-12,971",1340,(0.75%),"3,281"
8064,東捷,-438,-654,43.25,(-1.26%),"1,788"
1229,聯華,-435,"2,608",48.65,(-1.42%),"1,308"
1218,泰山,-430,502,18.8,(-1.05%),"1,254"
8277,商丞,-425,-631,14.95,(-0.99%),"2,753"
2634,漢翔,-418,"-12,183",55.4,(-1.07%),"7,138"
2377,微星,-414,"-24,669",109,(0.93%),"4,713"
3357,臺慶科,-412,"-1,060",155,(8.01%),"9,526"
8390,金益鼎,-410,-11,69.2,(-1.7%),"1,284"
5439,高技,-403,"-3,034",288.5,(0.35%),"2,439"
1326,台化,-402,"15,484",29.8,(-0.5%),"8,446"
3323,加百裕,-395,"-13,408",39.15,(-1.63%),"2,131"
5522,遠雄,-391,"-5,242",54.1,(-0.73%),"1,511"
2006,東和鋼鐵,-383,"1,044",62.1,(-2.51%),"1,695"
3717,聯嘉投控,-371,-147,19.4,(-2.02%),"1,286"
4931,新盛力,-368,"-3,880",122,(0%),"2,042"
3167,大量,-365,"-2,262",161.5,(-1.52%),"4,099"
2347,聯強,-361,"-3,509",58.9,(-0.17%),"2,713"
6763,綠界科技*,-355,593,61.9,(-1.28%),"1,709"
9933,中鼎,-355,"-1,840",30.8,(-1.12%),"1,789"
4927,泰鼎-KY,-344,"-8,837",22.2,(-1.55%),"3,281"
4128,中天,-341,"-1,750",22,(-1.79%),"1,304"
6213,聯茂,-340,"-3,081",98.6,(0.72%),"2,934"
1727,中華化,-339,103,36.5,(-2.8%),"2,053"
1589,永冠-KY,-331,"-5,138",22.2,(-0.67%),"1,809"
9940,信義,-331,"-1,704",22.8,(-1.51%),675
2383,台光電,-312,"-3,959",1125,(1.81%),"3,806"
